 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
ASM,0.0614585,0.031277,0.0233283,0.0239129,0.0290682,0.0259606,0.0269105,0.0279304,0.0305577,0.0282546,0.0261605,0.0275707,0.0298468,0.0299741,0.0286733,0.0322774,0.0339718,0.0322994,0.0325918,0.0346566,0.0357704,0.0343058,0.03661,0.0358829,0.0376111,0.0400278,0.0387023,0.0387946,0.0385002,0.0423869,0.0422383,0.047581,0.0519304,0.0474292,0.044048,0.0450275,0.0494542,0.0500436,0.0475975,0.0499012,0.0479673,0.048434,0.0499949,0.048004,0.0441327,0.0479849,0.0465268,0.0511058,0.0485961,0.0547472,0.0590367,0.039791,0.051217,0.0542188,0.0554661,0.0472636,0.0495433,0.0542832,0.0592306,0.0548694,0.0525551,0.0587433,0.0567776,0.0552801,
C,0.0605098,0.0309891,0.0222616,0.0215576,0.0276264,0.0249639,0.0231146,0.0242611,0.0293018,0.0272919,0.0266928,0.0286703,0.0338041,0.0315732,0.0295149,0.0309032,0.0325375,0.034658,0.0326311,0.0349825,0.0352454,0.0340495,0.0324112,0.0385355,0.0365636,0.0374242,0.0395703,0.0398925,0.0424043,0.0401132,0.0429381,0.0505442,0.0449651,0.044629,0.044693,0.0457715,0.0472351,0.0499657,0.0493952,0.048695,0.0511419,0.0468789,0.0493876,0.0480429,0.0452792,0.0510933,0.0408787,0.0507103,0.0522482,0.0541004,0.0529527,0.0557324,0.0528673,0.0451061,0.0623851,0.0594431,0.0583214,0.0592451,0.0573197,0.0522721,0.0553549,0.0514404,0.0715467,0.0569799,
