	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
ASM	0,013654	0,00764746	0,00581827	0,00598586	0,00780538	0,00746018	0,00728121	0,00820264	0,00861897	0,00953057	0,0101069	0,0118902	0,010995	0,0116267	0,0139054	0,0133068	0,0144838	0,014435	0,0153984	0,0155137	0,0137336	0,0146861	0,0165599	0,0148053	0,0177669	0,0175248	0,0170135	0,0195782	0,0177947	0,0189853	0,0183106	0,0192007	0,013345	0,0189874	0,0200397	0,0197015	0,0206702	0,0183182	0,016256	0,0202991	0,0183009	0,0202705	0,0152363	0,0144435	0,0214677	0,0141348	0,0158753	0,0205108	0,0243698	0,0100784	0,0225296	0,0204196	0,0173513	0,0155788	0,0214024	0,0174594	0,0191286	0,0180364	0,0146416	0,0170951	0,020384	0,0238629	0,0202884	0,0155391
C	0,0210491	0,0115274	0,00825615	0,00804612	0,0103108	0,00943478	0,00926368	0,0100981	0,0113511	0,0118411	0,0124255	0,0121577	0,0141444	0,0142634	0,0149801	0,0168	0,0170484	0,0174395	0,0176133	0,0183977	0,0221988	0,0203947	0,0206347	0,0203914	0,0211348	0,020194	0,0185936	0,023669	0,0217304	0,0231185	0,0244474	0,0208915	0,0233728	0,0240686	0,022329	0,0210611	0,0260931	0,0209357	0,0223014	0,0239048	0,0261891	0,0283368	0,0262928	0,0256628	0,0201311	0,0249189	0,0202493	0,0261353	0,0239416	0,0279606	0,0225356	0,0186993	0,0301741	0,0291499	0,0202262	0,0263598	0,0152983	0,0286187	0,0223751	0,0238991	0,031459	0,0289793	0,017786	0,0271117
