	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
ASM	0,328991	0,169	0,116382	0,0911686	0,138791	0,117391	0,103106	0,0950861	0,119783	0,109495	0,101567	0,101175	0,115231	0,108941	0,102079	0,104368	0,113768	0,108835	0,104924	0,104881	0,112882	0,111158	0,108266	0,116289	0,11796	0,114738	0,112677	0,112956	0,118501	0,116228	0,116006	0,115776	0,119711	0,121679	0,120804	0,124599	0,125097	0,125636	0,121246	0,124701	0,12766	0,127615	0,12607	0,129957	0,130475	0,131772	0,123957	0,132991	0,133359	0,137464	0,143987	0,140686	0,136702	0,135069	0,139126	0,138767	0,140352	0,139642	0,14009	0,140879	0,141493	0,142673	0,142314	0,143779
C	0,527306	0,268031	0,183309	0,148379	0,197276	0,185501	0,161306	0,145995	0,189011	0,171557	0,158326	0,154936	0,18226	0,168605	0,15828	0,15579	0,174785	0,169839	0,160983	0,147592	0,173997	0,170102	0,164923	0,164412	0,174164	0,171802	0,167697	0,167966	0,179249	0,173697	0,170956	0,176029	0,17958	0,17621	0,173745	0,174224	0,186342	0,185271	0,179819	0,18159	0,18432	0,175244	0,181003	0,182378	0,185649	0,186553	0,189131	0,185844	0,18993	0,189258	0,189653	0,190187	0,19377	0,194509	0,195091	0,193644	0,197418	0,195832	0,195929	0,197036	0,196208	0,206193	0,207967	0,211865
