 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
ASM,0.233471,0.120892,0.0836237,0.0698977,0.101686,0.0858198,0.074671,0.0744985,0.0903505,0.0823967,0.0828665,0.0835012,0.0884934,0.0876434,0.0837456,0.0871603,0.0893434,0.0889278,0.0892628,0.0910014,0.0948567,0.0932099,0.0913416,0.0940575,0.0961412,0.0958801,0.0988248,0.0978838,0.0984382,0.0986943,0.0987289,0.101295,0.106015,0.104983,0.106138,0.105643,0.109476,0.110179,0.108584,0.112991,0.118719,0.114166,0.113592,0.122357,0.122417,0.112332,0.116136,0.116157,0.117987,0.117955,0.130449,0.130631,0.122834,0.121204,0.121389,0.12384,0.124496,0.126209,0.126557,0.126233,0.13074,0.131465,0.141099,0.131243,
C,0.231014,0.120917,0.0842904,0.0701621,0.102724,0.0823263,0.0772665,0.0754488,0.0906149,0.0847119,0.0787685,0.0802853,0.0902608,0.0868314,0.080546,0.0853092,0.0897859,0.0867325,0.0879738,0.0865748,0.0922615,0.0916346,0.0927346,0.091718,0.0937521,0.0932035,0.0959562,0.0952991,0.0987101,0.0983902,0.0982113,0.0991493,0.101619,0.103507,0.104467,0.110056,0.103472,0.113278,0.10801,0.108698,0.108609,0.109154,0.108364,0.111373,0.112211,0.11112,0.113733,0.115732,0.102142,0.118336,0.116914,0.118629,0.121507,0.120423,0.122559,0.12166,0.124525,0.12355,0.127452,0.132933,0.12573,0.143256,0.132862,0.144715,
