	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
ASM	0,325527	0,166863	0,114786	0,0923702	0,136574	0,11604	0,103316	0,0947696	0,118809	0,107079	0,101136	0,100035	0,113738	0,105952	0,101273	0,102243	0,112169	0,106964	0,105426	0,0945892	0,116614	0,110298	0,108911	0,10817	0,117684	0,111978	0,11133	0,113701	0,11889	0,116127	0,114576	0,115222	0,120163	0,119396	0,11829	0,120781	0,122429	0,123785	0,120875	0,123695	0,124942	0,12667	0,127372	0,127262	0,126862	0,127905	0,130632	0,131132	0,131584	0,132324	0,140308	0,146925	0,137186	0,134544	0,135013	0,137282	0,138915	0,140276	0,139495	0,141008	0,140253	0,142329	0,145086	0,143267
C	0,522382	0,267253	0,182647	0,14091	0,205741	0,184056	0,158304	0,145911	0,187749	0,170539	0,155966	0,152473	0,183224	0,168092	0,15922	0,15695	0,173005	0,168209	0,163297	0,155422	0,175663	0,168752	0,166932	0,165019	0,174375	0,171661	0,167892	0,170402	0,176549	0,173654	0,170068	0,174328	0,18167	0,178071	0,173877	0,174587	0,180472	0,185302	0,182925	0,18199	0,181211	0,180936	0,18197	0,183385	0,187064	0,183957	0,183979	0,184381	0,187769	0,187655	0,194554	0,191792	0,195584	0,193567	0,19339	0,191934	0,19344	0,194308	0,182935	0,199646	0,199126	0,196271	0,203023	0,213959
