 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
ASM,0.0584491,0.0305454,0.021955,0.0220838,0.0273643,0.0239623,0.0242738,0.0250794,0.0271911,0.0270336,0.0269684,0.0283321,0.0299121,0.0294464,0.0292759,0.0304575,0.0322255,0.0339837,0.0330449,0.0340191,0.0339344,0.0356468,0.0361292,0.0365297,0.037681,0.0386369,0.0412302,0.0391637,0.0403802,0.0407752,0.0430909,0.042479,0.0437639,0.0452897,0.0452404,0.0455814,0.0450676,0.0504154,0.0453168,0.0492929,0.0487414,0.0477236,0.0455061,0.0489996,0.0494355,0.0517027,0.0466894,0.0519128,0.0465581,0.0548048,0.0744668,0.0650707,0.0530211,0.0596265,0.0556238,0.0523897,0.0602096,0.0494359,0.0581369,0.0477134,0.0592997,0.0617008,0.0599104,0.056829,
C,0.0573368,0.0295538,0.022705,0.0214962,0.0257074,0.0242986,0.022747,0.0237913,0.0267267,0.0264615,0.0253914,0.0291425,0.0313971,0.0306312,0.0334286,0.0338613,0.0344035,0.0346009,0.0348276,0.0358555,0.0364415,0.0370778,0.0389596,0.0368762,0.0378254,0.0380102,0.0383152,0.0389118,0.0405354,0.0404982,0.0446569,0.0421506,0.043233,0.0433617,0.0448489,0.0443372,0.0465952,0.0484627,0.0532595,0.0529655,0.0491466,0.0480185,0.0479469,0.0497478,0.0507835,0.0451585,0.0520727,0.0515308,0.0528709,0.0438282,0.0508401,0.0548235,0.0523333,0.0562283,0.0562286,0.0438294,0.0602096,0.0622532,0.0465436,0.0536452,0.0487138,0.0657434,0.0517319,0.0617213,
